 MetaGeneAnnotator Prediction Results

# Chromosome dna:chromosome chromosome:ASM690v1:Chromosome:1:4016947:1 REF
# gc = 0.67214, rbs = 0.616999
# self: b
gene_1	202	1107	+	0	11	155.389	s	189	194	-1.67581
gene_2	1104	1703	+	0	11	116.094	s	1085	1090	-1.47876
gene_3	1700	2557	+	0	11	152.55	s	1684	1689	1.85669
gene_4	2559	3158	+	0	11	102.77	s	2548	2553	-2.30287
gene_5	3190	3903	+	0	11	184.55	s	3179	3184	0.662752
gene_6	4022	4810	+	0	11	231.782	s	4011	4016	1.00577
gene_7	4960	5235	+	0	11	69.8655	s	4944	4949	1.2742
gene_8	5636	7108	+	0	11	273.126	s	5622	5627	0.769708
gene_9	7170	7790	-	0	11	49.0863	b	7798	7803	-3.65
gene_10	8165	10060	+	0	11	556.454	s	8146	8151	-0.748905
gene_11	10223	11380	+	0	11	217.897	s	10213	10218	-3.16394
gene_12	11467	14178	+	0	11	625.418	s	11451	11456	-3.14511
gene_13	14199	17021	+	0	11	591.765	s	14189	14194	0.588045
gene_14	17018	17494	-	0	11	101.893	s	17498	17503	-0.791822
gene_15	17491	18042	-	0	11	120.416	s	18050	18055	2.80451
gene_16	18043	18495	-	0	11	87.8009	s	18501	18506	-1.04667
gene_17	18492	18731	-	0	11	37.8176	b	18741	18746	-1.78144
gene_18	18735	19784	-	0	11	174.819	s	19791	19796	-1.72026
gene_19	19815	20447	+	0	11	59.3511	b	19799	19804	0.0613298
gene_20	20444	20668	-	0	11	37.2741	b	20675	20680	0.924006
gene_21	20840	23032	-	0	11	537.282	s	23038	23043	-1.91433
gene_22	23029	23559	-	0	11	82.7551	s	23571	23576	2.16613
gene_23	23760	24074	+	0	11	51.311	s	23746	23751	1.77159
gene_24	24091	24981	+	0	11	200.262	s	24079	24084	-0.430646
gene_25	24991	26613	-	0	11	444.847	s	26624	26629	0.0195541
gene_26	26701	29403	-	0	11	467.967	s	29410	29415	3.75186
gene_27	29502	30185	-	0	11	161.502	s	30193	30198	1.4919
gene_28	30337	32658	-	0	11	545.306	s	32664	32669	4.7267
gene_29	32914	33546	+	0	11	144.64	s	32899	32904	5.3816
gene_30	33607	34329	+	0	11	122.202	s	33595	33600	1.85801
gene_31	34312	34698	-	0	11	46.1823	b	34711	34716	-2.67701
gene_32	34699	34938	-	0	11	32.1139	s	34946	34951	1.77968
gene_33	35824	37962	-	0	11	658.521	s	37968	37973	2.79031
gene_34	38211	38480	-	0	11	50.2453	s	38490	38495	0.443814
gene_35	38495	39427	-	0	11	196.477	s	39437	39442	-0.342496
gene_36	39430	39879	-	0	11	113.73	s	39889	39894	2.03843
gene_37	39980	40768	-	0	11	180.431	s	40779	40784	0.350871
gene_38	40828	41319	-	0	11	93.7177	s	41322	41327	-2.71455
gene_39	41403	41915	-	0	11	92.6235	s	41924	41929	-2.75263
gene_40	41960	42511	-	0	11	34.3452	b	42519	42524	1.21925
gene_41	42585	45614	-	0	11	596.865	s	45622	45627	-0.779621
gene_42	45893	46543	-	0	11	88.8026	s	46555	46560	-0.658112
gene_43	46622	48268	-	0	11	465.296	s	48275	48280	2.94518
gene_44	48271	48807	-	0	11	146.874	s	48821	48826	-3.33802
gene_45	48709	48942	+	0	11	7.90311	p	48700	48705	-1.4273
gene_46	49104	49637	+	0	11	169.592	s	49092	49097	3.17553
gene_47	49644	50030	-	0	11	54.1298	b	50037	50042	-1.03173
gene_48	50131	50811	-	0	11	148.687	s	50818	50823	-0.67739
gene_49	50901	52124	-	0	11	357.295	s	52133	52138	0.143067
gene_50	52244	52678	-	0	11	60.4776	s	52686	52691	-2.6178
gene_51	52706	54298	-	0	11	262.9	s	54304	54309	-0.347231
gene_52	54295	55149	-	0	11	120.927	s	55153	55158	-1.85712
gene_53	55230	55703	-	0	11	103.325	s	55716	55721	-0.481865
gene_54	55723	58011	-	0	11	424.811	s	58019	58024	-3.45398
gene_55	58201	58608	-	0	11	104.326	s	58617	58622	1.72865
gene_56	58654	59106	-	0	11	104.028	s	59119	59124	-2.2936
